CookerStat, GenerateAssetRegistry=0.050031, Initialize=0.233054, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_38, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_F24F128AFDB08C013EA0EC5F9D5AB9B3, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.163782, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_39, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_23561F294B553ECD5BEB2FBACE37CAC7, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.102203, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_40, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_479772905E019EAC183F6CB2B5326CB9, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.180457, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_41, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_671B6B4245E9FB25355D55952E131F4F, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.094078, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_42, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_2D00BF154EFCE9D4664CFE8091931F76, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.100493, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_43, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_C77BB1F34CB1405AFBC68E8B1488D188, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.087664, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_44, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_54FA34056A49EB1F94C7E389946D539F, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.085525, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_45, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_6F43DAD64E00DBE73CD529BD9C51CDEE, StartTime=2018.06.09-17.43.32, HierarchicalDDC=, DataSize=16486, Duration=0.263415, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_46, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AE352AEF4768BBBB6D3E6DB460621442__1_0_13123_0, StartTime=2018.06.09-17.49.28, HierarchicalDDC=, DataSize=458, Duration=3.639091, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_47, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DEA8B2B4407E9F8726974B99059278E9__1_0_13123_0, StartTime=2018.06.09-17.49.28, HierarchicalDDC=, DataSize=347, Duration=3.195219, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_48, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC4609E243AC74F6B6D4B89B21FB1B16__1_0_13123_0, StartTime=2018.06.09-17.49.28, HierarchicalDDC=, DataSize=347, Duration=5.311534, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_49, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9C9AC04C4BC48A15AEA392ACEF7EB18D__1_0_13123_0, StartTime=2018.06.09-17.49.28, HierarchicalDDC=, DataSize=347, Duration=44.160007, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_50, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_552319D7485D893B65D1A7A6E0A4E7B8__1_0_13123_0, StartTime=2018.06.09-17.49.28, HierarchicalDDC=, DataSize=347, Duration=2.467822, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_51, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2FC34CC14E28BB14C05641AB1C104ABC__1_0_13123_0, StartTime=2018.06.09-17.49.28, HierarchicalDDC=, DataSize=409, Duration=2.273258, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_52, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_95F58E5F4140A4BC406AFAB6C4072FFF__1_0_13123_0, StartTime=2018.06.09-17.49.31, HierarchicalDDC=, DataSize=458, Duration=3.011767, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_53, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5BC62AE4742D7C8697B1FAAF915DB30__1_0_13123_0, StartTime=2018.06.09-17.49.31, HierarchicalDDC=, DataSize=347, Duration=2.466116, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_54, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1776D2F94B844AFC48D546B87FDC002C__1_0_13123_0, StartTime=2018.06.09-17.49.31, HierarchicalDDC=, DataSize=347, Duration=2.719268, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_55, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D067F70E4A4BE1EA5DCCDAB2C5A888BC__1_0_13123_0, StartTime=2018.06.09-17.49.31, HierarchicalDDC=, DataSize=347, Duration=1.306396, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_56, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_943D8D6D4EECA3C579CB37B3758879B8__1_0_13123_0, StartTime=2018.06.09-17.49.31, HierarchicalDDC=, DataSize=347, Duration=2.016254, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_57, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ED891BCB4ABC186525A94DA031926A09__1_0_13123_0, StartTime=2018.06.09-17.49.31, HierarchicalDDC=, DataSize=409, Duration=5.061798, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_58, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D2498DA34279F64699BE76A60C1B71C6__1_0_13123_0, StartTime=2018.06.09-17.49.32, HierarchicalDDC=, DataSize=458, Duration=3.648501, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_59, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B8359CD44DB21B9A4C0533A676280311__1_0_13123_0, StartTime=2018.06.09-17.49.32, HierarchicalDDC=, DataSize=347, Duration=2.174903, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_60, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F4A7AE1F466EBD0E93935FB503530A6E__1_0_13123_0, StartTime=2018.06.09-17.49.32, HierarchicalDDC=, DataSize=347, Duration=2.488352, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_61, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE03ECE54018E03E6511D5AE9AD39DA7__1_0_13123_0, StartTime=2018.06.09-17.49.32, HierarchicalDDC=, DataSize=347, Duration=2.330560, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_62, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7BA72AB3416A7341AAE686B474FEC333__1_0_13123_0, StartTime=2018.06.09-17.49.32, HierarchicalDDC=, DataSize=347, Duration=1.506951, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_63, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_287CCCD241F71F1496529B914E393A47__1_0_13123_0, StartTime=2018.06.09-17.49.32, HierarchicalDDC=, DataSize=409, Duration=2.307467, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_64, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E091C7754341A89F7FA4BFA69DFE65D6__1_0_13123_0, StartTime=2018.06.09-17.49.34, HierarchicalDDC=, DataSize=458, Duration=4.161220, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_65, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B775BE864512197E1985919F0694560F__1_0_13123_0, StartTime=2018.06.09-17.49.34, HierarchicalDDC=, DataSize=347, Duration=2.851404, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_66, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5175371409CA698056BA49EE119E237__1_0_13123_0, StartTime=2018.06.09-17.49.34, HierarchicalDDC=, DataSize=347, Duration=3.288012, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
